"","AF","address","university","department","short_address","postal_code","country"
"1683","Malizia, Agustina","Univ Nacl Tucuman, Lab Invest Ecol Yungas, RA-4107 San Miguel De Tucuman, Argentina.","Univ Nacl Tucuman"," Lab Invest Ecol Yungas"," RA-4107 San Miguel De Tucuman, Argentina.","RA-4107","Argentina"
"1684","Brazeiro, Alejandro","Univ Republica, Dept Ecol, Fac Ciencias, Montevideo 11400, Uruguay.","Univ Republica"," Dept Ecol"," Fac Ciencias, Montevideo 11400, Uruguay."," 11400","Uruguay"
"1685","Sosa, Beatriz","Univ Republica, Dept Ecol, Fac Ciencias, Montevideo 11400, Uruguay.","Univ Republica"," Dept Ecol"," Fac Ciencias, Montevideo 11400, Uruguay."," 11400","Uruguay"
"1686","Correa-Solis, M.","Univ Chile, Fac Ciencias, Dept Ciencias Ecol, Lab Genet & Evoluc, Santiago 7800024, Chile.","Univ Chile"," Fac Ciencias"," Dept Ciencias Ecol, Lab Genet & Evoluc, Santiago 7800024, Chile."," 78000","Chile"
"1687","Marquez-Garcia, M.","Univ Chile, Fac Ciencias, Dept Ciencias Ecol, Lab Genet & Evoluc, Santiago 7800024, Chile.","Univ Chile"," Fac Ciencias"," Dept Ciencias Ecol, Lab Genet & Evoluc, Santiago 7800024, Chile."," 78000","Chile"
"1688","Mendez, M. A.","Univ Chile, Fac Ciencias, Dept Ciencias Ecol, Lab Genet & Evoluc, Santiago 7800024, Chile.","Univ Chile"," Fac Ciencias"," Dept Ciencias Ecol, Lab Genet & Evoluc, Santiago 7800024, Chile."," 78000","Chile"
"1689","Mendez, M. A.","Univ Chile, Fac Ciencias, Dept Ciencias Ecol, Lab Genet & Evoluc, Santiago 7800024, Chile.","Univ Chile"," Fac Ciencias"," Dept Ciencias Ecol, Lab Genet & Evoluc, Santiago 7800024, Chile."," 78000","Chile"
"1690","Mendez, M. A.","Univ Chile, Fac Ciencias, Dept Ciencias Ecol, Lab Genet & Evoluc, Santiago 7800024, Chile.","Univ Chile"," Fac Ciencias"," Dept Ciencias Ecol, Lab Genet & Evoluc, Santiago 7800024, Chile."," 78000","Chile"
"1691","Mendez, M. A.","Univ Chile, Fac Ciencias, Dept Ciencias Ecol, Lab Genet & Evoluc, Santiago 7800024, Chile.","Univ Chile"," Fac Ciencias"," Dept Ciencias Ecol, Lab Genet & Evoluc, Santiago 7800024, Chile."," 78000","Chile"
"1692","Moreno, Claudia E.","Univ Autonoma Estado Hidalgo, CIB, Pachuca 42001, Hidalgo, Mexico.","Univ Autonoma Estado Hidalgo"," CIB"," Pachuca 42001, Hidalgo, Mexico."," 42001","Mexico"
"1693","Rodriguez, Pilar","CONABIO, Mexico City 14010, DF, Mexico.","CONABIO"," Mexico City 14010"," DF, Mexico.",NA,"Mexico"
"1694","Franco, Augusto C.","Univ Brasilia, Dept Bot, BR-70904970 Brasilia, DF, Brazil.","Univ Brasilia"," Dept Bot"," BR-70904970 Brasilia, DF, Brazil.","BR-70904970","Brazil"
"1695","Geiger, Erika L.","N Carolina State Univ, Dept Plant Biol, Raleigh, NC 27695 USA.","N Carolina State Univ"," Dept Plant Biol"," Raleigh, NC 27695 USA."," 27695","USA"
"1696","Goldstein, Guillermo","Univ Miami, Dept Biol, Coral Gables, FL 33124 USA.","Univ Miami"," Dept Biol"," Coral Gables, FL 33124 USA."," 33124","USA"
"1697","Gotsch, Sybil G.","N Carolina State Univ, Dept Plant Biol, Raleigh, NC 27695 USA.","N Carolina State Univ"," Dept Plant Biol"," Raleigh, NC 27695 USA."," 27695","USA"
"1698","Hoffmann, William A.","N Carolina State Univ, Dept Plant Biol, Raleigh, NC 27695 USA.","N Carolina State Univ"," Dept Plant Biol"," Raleigh, NC 27695 USA."," 27695","USA"
"1699","Meinzer, Frederick C.","USDA Forest Serv, Forestry Sci Lab, Corvallis, OR 97331 USA.","USDA Forest Serv"," Forestry Sci Lab"," Corvallis, OR 97331 USA."," 97331","USA"
"1700","Blendinger, Pedro G.","Univ Nacl Tucuman, Inst Ecol Reg CONICET, Natl Council Sci & Tech Research, RA-4107 San Miguel De Tucuman, Argentina.","Univ Nacl Tucuman"," Inst Ecol Reg CONICET"," Natl Council Sci & Tech Research, RA-4107 San Miguel De Tucuman, Argentina.","RA-4107","Argentina"
"1701","Diaz-Velez, Maria C.","Univ Nacl Cordoba, Grp Invest Ecol Reprod Plantas, IMBIV CONICET, RA-5000 Cordoba, Argentina.","Univ Nacl Cordoba"," Grp Invest Ecol Reprod Plantas"," IMBIV CONICET, RA-5000 Cordoba, Argentina.","RA-5000","Argentina"
"1702","Albrecht, Larissa","Univ Ulm, Inst Expt Ecol, D-89069 Ulm, Germany.","Univ Ulm"," Inst Expt Ecol"," D-89069 Ulm, Germany.","D-8906","Germany"
"1703","Heer, Katrin","Univ Ulm, Inst Expt Ecol, D-89069 Ulm, Germany.","Univ Ulm"," Inst Expt Ecol"," D-89069 Ulm, Germany.","D-8906","Germany"
"1704","Kalko, Elisabeth K. V.","Univ Ulm, Inst Expt Ecol, D-89069 Ulm, Germany.","Univ Ulm"," Inst Expt Ecol"," D-89069 Ulm, Germany.","D-8906","Germany"
"1705","Brienen, Roel J. W.","Univ Leeds, Sch Geog Ecol & Biodivers, Leeds LS2 9JT, W Yorkshire, England.","Univ Leeds"," Sch Geog Ecol & Biodivers"," Leeds LS2 9JT, W Yorkshire, England.","LS2 9JT",NA
"1706","Martinez-Ramos, Miguel","Univ Nacl Autonoma Mexico, Ctr Invest Ecosistemas, Morelia 58089, Michoacan, Mexico.","Univ Nacl Autonoma Mexico"," Ctr Invest Ecosistemas"," Morelia 58089, Michoacan, Mexico."," 58089","Mexico"
"1707","Zuidema, Pieter A.","Univ Utrecht, NL-3508 TB Utrecht, Netherlands.","Univ Utrecht"," NL-3508 TB Utrecht"," Netherlands.",NA,"Netherlands"
"1708","Banks-Leite, Cristina","Univ Sao Paulo, Dept Ecol, Inst Biociencias, BR-05508900 Sao Paulo, Brazil.","Univ Sao Paulo"," Dept Ecol"," Inst Biociencias, BR-05508900 Sao Paulo, Brazil.","BR-05508900","Brazil"
"1709","Ewers, Robert M.","Univ London Imperial Coll Sci Technol & Med, Ascot SL5 7PY, Berks, England.","Univ London Imperial Coll Sci Technol & Med"," Ascot SL5 7PY"," Berks, England.",NA,NA
"1710","Metzger, Jean-Paul","Univ Sao Paulo, Dept Ecol, Inst Biociencias, BR-05508900 Sao Paulo, Brazil.","Univ Sao Paulo"," Dept Ecol"," Inst Biociencias, BR-05508900 Sao Paulo, Brazil.","BR-05508900","Brazil"
"1711","Danger, M.",NA,NA,NA,NA,NA,NA
"1712","Gonzalez, A. L.","Pontificia Univ Catolica Chile, Fac Ciencias Biol, Dept Ecol, CASEB, Santiago 6513677, Chile.","Pontificia Univ Catolica Chile"," Fac Ciencias Biol"," Dept Ecol, CASEB, Santiago 6513677, Chile."," 65136","Chile"
"1713","Ishida, S.",NA,NA,NA,NA,NA,NA
"1714","Iwai, N.",NA,NA,NA,NA,NA,NA
"1715","Kominoski, J. S.",NA,NA,NA,NA,NA,NA
"1716","Rubach, A.",NA,NA,NA,NA,NA,NA
"1717","Matute, Nathaly","Inst Venezolano Invest Cient, Ctr Ecol, Caracas 1020, Venezuela.","Inst Venezolano Invest Cient"," Ctr Ecol"," Caracas 1020, Venezuela.",NA,"Venezuela"
"1718","Angel Mazorra, Miguel","Fedepalma, Bogota 13772, DC, Colombia.","Fedepalma"," Bogota 13772"," DC, Colombia.",NA,"Colombia"
"1719","Montes, Ruben","Univ Simon Bolivar, Dept Estudios Ambientales, Caracas 1020, Venezuela.","Univ Simon Bolivar"," Dept Estudios Ambientales"," Caracas 1020, Venezuela.",NA,"Venezuela"
"1720","San-Jose, Jose","Inst Venezolano Invest Cient, Ctr Ecol, Caracas 1020, Venezuela.","Inst Venezolano Invest Cient"," Ctr Ecol"," Caracas 1020, Venezuela.",NA,"Venezuela"
"1721","Ortiz-Pulido, Raul","Univ Autonoma Estado Hidalgo, Ctr Invest Biol, Pachuca 42001, Hidalgo, Mexico.","Univ Autonoma Estado Hidalgo"," Ctr Invest Biol"," Pachuca 42001, Hidalgo, Mexico."," 42001","Mexico"
"1722","Pavon, Numa P.","Univ Autonoma Estado Hidalgo, Ctr Invest Biol, Pachuca 42001, Hidalgo, Mexico.","Univ Autonoma Estado Hidalgo"," Ctr Invest Biol"," Pachuca 42001, Hidalgo, Mexico."," 42001","Mexico"
"1723","Monteiro, L. H. A.","Univ Presbiteriana Mackenzie, Escola Engn, BR-01302907 Sao Paulo, Brazil.","Univ Presbiteriana Mackenzie"," Escola Engn"," BR-01302907 Sao Paulo, Brazil.","BR-01302907","Brazil"
"1724","Schimit, P. H. T.","Univ Sao Paulo, Escola Politecn, Dept Engn Telecomunicacoes & Controle, BR-05508900 Sao Paulo, Brazil.","Univ Sao Paulo"," Escola Politecn"," Dept Engn Telecomunicacoes & Controle, BR-05508900 Sao Paulo, Brazil.","BR-05508900","Brazil"
"1725","Baccaro, Fabricio Beggiato","Inst Nacl de Pesquisas da Amazonia, Programa Posgrad Entomol, BR-69060020 Manaus, Amazonas, Brazil.","Inst Nacl de Pesquisas da Amazonia"," Programa Posgrad Entomol"," BR-69060020 Manaus, Amazonas, Brazil.","BR-69060020","Brazil"
"1726","De Morais, Jose Wellington",NA,NA,NA,NA,NA,NA
"1727","Ketelhut, Suzana Maria","Inst Nacl de Pesquisas da Amazonia, TEAM, Initiat Ant Monitoring Protocol, BR-69060020 Manaus, Amazonas, Brazil.","Inst Nacl de Pesquisas da Amazonia"," TEAM"," Initiat Ant Monitoring Protocol, BR-69060020 Manaus, Amazonas, Brazil.","BR-69060020","Brazil"
"1728","da Silva Berbert, Claudia Militao","UNESP, IBB, Dept Physiol, BR-18618000 Botucatu, SP, Brazil.","UNESP"," IBB"," Dept Physiol, BR-18618000 Botucatu, SP, Brazil.","BR-18618000","Brazil"
"1729","Delicio, Helton Carlos","UNESP, IBB, Dept Physiol, BR-18618000 Botucatu, SP, Brazil.","UNESP"," IBB"," Dept Physiol, BR-18618000 Botucatu, SP, Brazil.","BR-18618000","Brazil"
"1730","Giaquinto, Percilia Cardoso","UNESP, IBB, Dept Physiol, BR-18618000 Botucatu, SP, Brazil.","UNESP"," IBB"," Dept Physiol, BR-18618000 Botucatu, SP, Brazil.","BR-18618000","Brazil"
"1731","Giaquinto, Percilia Cardoso","UNESP, IBB, Dept Physiol, BR-18618000 Botucatu, SP, Brazil.","UNESP"," IBB"," Dept Physiol, BR-18618000 Botucatu, SP, Brazil.","BR-18618000","Brazil"
"1732","Prevedello, Jayme Augusto","Univ Fed Rio de Janeiro, Dept Ecol, Lab Vertebrados, BR-21941590 Rio De Janeiro, Brazil.","Univ Fed Rio de Janeiro"," Dept Ecol"," Lab Vertebrados, BR-21941590 Rio De Janeiro, Brazil.","BR-21941590","Brazil"
"1733","Vieira, Marcus Vinicius","Univ Fed Rio de Janeiro, Dept Ecol, Lab Vertebrados, BR-21941590 Rio De Janeiro, Brazil.","Univ Fed Rio de Janeiro"," Dept Ecol"," Lab Vertebrados, BR-21941590 Rio De Janeiro, Brazil.","BR-21941590","Brazil"
"1734","Barlow, Jos","Univ Lancaster, Lancaster Environm Ctr, Lancaster LA1 4YQ, England.","Univ Lancaster"," Lancaster Environm Ctr"," Lancaster LA1 4YQ, England.","LA1 4YQ",NA
"1735","Gardner, Toby","Univ Cambridge, Dept Zool, Cambridge CB2 3EJ, England.","Univ Cambridge"," Dept Zool"," Cambridge CB2 3EJ, England.","CB2 3EJ",NA
"1736","Louzada, Julio","Univ Fed Lavras, Dept Biol, BR-37200000 Lavras, MG, Brazil.","Univ Fed Lavras"," Dept Biol"," BR-37200000 Lavras, MG, Brazil.","BR-37200000","Brazil"
"1737","Peres, Carlos","Univ E Anglia, Sch Environm Sci, Norwich NR4 7TJ, Norfolk, England.","Univ E Anglia"," Sch Environm Sci"," Norwich NR4 7TJ, Norfolk, England.","NR4 7TJ",NA
"1738","Boyle, Sarah A.","Arizona State Univ, Sch Life Sci, Tempe, AZ 85287 USA.","Arizona State Univ"," Sch Life Sci"," Tempe, AZ 85287 USA."," 85287","USA"
"1739","Smith, Andrew T.","Arizona State Univ, Sch Life Sci, Tempe, AZ 85287 USA.","Arizona State Univ"," Sch Life Sci"," Tempe, AZ 85287 USA."," 85287","USA"
"1740","Grace Ambal, Ruth","Wildlife Conservat Soc Philippines, Quezon City 1101, Philippines.","Wildlife Conservat Soc Philippines"," Quezon City 1101"," Philippines.",NA,"Philippines"
"1741","Brito, Daniel","Univ Fed Goias, Inst Ciencias Biol, Dept Ecol, BR-74001970 Goiania, Go, Brazil.","Univ Fed Goias"," Inst Ciencias Biol"," Dept Ecol, BR-74001970 Goiania, Go, Brazil.","BR-74001970","Brazil"
"1742","Brooks, Thomas","Conservat Int, Ctr Appl Biodivers Sci, Arlington, VA 22202 USA.","Conservat Int"," Ctr Appl Biodivers Sci"," Arlington, VA 22202 USA."," 22202","USA"
"1743","De Silva, Naamal","Conservat Int, Ctr Appl Biodivers Sci, Arlington, VA 22202 USA.","Conservat Int"," Ctr Appl Biodivers Sci"," Arlington, VA 22202 USA."," 22202","USA"
"1744","Foster, Matthew","Conservat Int, Ctr Appl Biodivers Sci, Arlington, VA 22202 USA.","Conservat Int"," Ctr Appl Biodivers Sci"," Arlington, VA 22202 USA."," 22202","USA"
"1745","Hao, Wang","Peking Univ, Sch Life Sci, Ctr Nat & Soc, Beijing 100871, Peoples R China.","Peking Univ"," Sch Life Sci"," Ctr Nat & Soc, Beijing 100871, Peoples R China."," 10087","China"
"1746","Hilton-Taylor, Craig","IUCN Red List Unit, Species Programme, Cambridge, England.","IUCN Red List Unit"," Species Programme"," Cambridge, England.",NA,NA
"1747","Paglia, Adriano","Conservacao Int Brasil, BR-30112021 Belo Horizonte, MG, Brazil.","Conservacao Int Brasil"," BR-30112021 Belo Horizonte"," MG, Brazil.",NA,"Brazil"
"1748","Paul Rodriguez, Jon","Inst Venezolano Invest Cient, Ctr Ecol, Caracas 1020A, Venezuela.","Inst Venezolano Invest Cient"," Ctr Ecol"," Caracas 1020A, Venezuela.",NA,"Venezuela"
"1749","Vicente Rodriguez, Jose","Conservat Int CBC Andes, Bogota, Colombia.","Conservat Int CBC Andes"," Bogota"," Colombia.",NA,"Colombia"
"1750","Carranza, Alvar","UNDECIMAR, Fac Ciencias, Montevideo 11400, Uruguay.","UNDECIMAR"," Fac Ciencias"," Montevideo 11400, Uruguay."," 11400","Uruguay"
"1751","Lopez Gappa, Juan","Museo Argentino Ciencias Nat Bernardino Rivadavia, Buenos Aires, DF, Argentina.","Museo Argentino Ciencias Nat Bernardino Rivadavia"," Buenos Aires"," DF, Argentina.",NA,"Argentina"
"1752","Gianuca, Norton M.","Secretary Environm Affairs, BR-96205040 Rio Grande, RS, Brazil.","Secretary Environm Affairs"," BR-96205040 Rio Grande"," RS, Brazil.",NA,"Brazil"
"1753","Scarabino, Fabrizio","Direcc Nacl Recursos Acuat, Montevideo 11200, Uruguay.","Direcc Nacl Recursos Acuat"," Montevideo 11200"," Uruguay.",NA,"Uruguay"
"1754","Carranza, Alvar","UNDECIMAR, Fac Ciencias, Montevideo 11400, Uruguay.","UNDECIMAR"," Fac Ciencias"," Montevideo 11400, Uruguay."," 11400","Uruguay"
"1755","de Mello, Camila","Direcc Nacl Recursos Acuat, Montevideo 11200, Uruguay.","Direcc Nacl Recursos Acuat"," Montevideo 11200"," Uruguay.",NA,"Uruguay"
"1756","Gonzalez, Silvana","Direcc Nacl Recursos Acuat, Montevideo 11200, Uruguay.","Direcc Nacl Recursos Acuat"," Montevideo 11200"," Uruguay.",NA,"Uruguay"
"1757","Ligrone, Andres","UNDECIMAR, Fac Ciencias, Montevideo 11400, Uruguay.","UNDECIMAR"," Fac Ciencias"," Montevideo 11400, Uruguay."," 11400","Uruguay"
"1758","Piriz, Pablo",NA,NA,NA,NA,NA,NA
"1759","Scarabino, Fabrizio","Direcc Nacl Recursos Acuat, Montevideo 11200, Uruguay.","Direcc Nacl Recursos Acuat"," Montevideo 11200"," Uruguay.",NA,"Uruguay"
"1760","Elena de Villalobos, Ana","Univ Nacl Sur, Dept Biol Bioquim & Farm, GEKKO Grp Estudio Conservac & Manejo, RA-8000 Bahia Blanca, Buenos Aires, Argentina.","Univ Nacl Sur"," Dept Biol Bioquim & Farm"," GEKKO Grp Estudio Conservac & Manejo, RA-8000 Bahia Blanca, Buenos Aires, Argentina.","RA-8000","Argentina"
"1761","Martin, Jean-Louis","Ctr Ecol Fonct & Evolut, UMR 5175, F-34293 Montpellier 5, France.","Ctr Ecol Fonct & Evolut"," UMR 5175"," F-34293 Montpellier 5, France.","F-3429","France"
"1762","Vazquez, Diego P.","Consejo Nacl Invest Cient & Tecn, Inst Argentino Invest Zonas Aridas, RA-5500 Mendoza, Argentina.","Consejo Nacl Invest Cient & Tecn"," Inst Argentino Invest Zonas Aridas"," RA-5500 Mendoza, Argentina.","RA-5500","Argentina"
"1763","Bouvet, J. P.","INTA Estac Expt Agropecuaria Concordia CC34, Secc Entomol, Entre Rios, Argentina.","INTA Estac Expt Agropecuaria Concordia CC34"," Secc Entomol"," Entre Rios, Argentina.",NA,"Argentina"
"1764","Lawson, S. A.","Dept Primary Ind & Fisheries, Indooroopilly, Qld 4068, Australia.","Dept Primary Ind & Fisheries"," Indooroopilly"," Qld 4068, Australia.","Qld 4068","Australia"
"1765","Nadel, R. L.","Univ Pretoria, Dept Genet, FABI, ZA-0002 Pretoria, South Africa.","Univ Pretoria"," Dept Genet"," FABI, ZA-0002 Pretoria, South Africa.","ZA-0002","South Africa"
"1766","Noack, A. E.","Univ Sydney, Fac Agr Food & Nat Resources, Sydney, NSW 2006, Australia.","Univ Sydney"," Fac Agr Food & Nat Resources"," Sydney, NSW 2006, Australia.","NSW 2006","Australia"
"1767","Scholes, M. C.","Univ Witwatersrand, Sch Anim Plant & Environm Sci, ZA-2050 Johannesburg, South Africa.","Univ Witwatersrand"," Sch Anim Plant & Environm Sci"," ZA-2050 Johannesburg, South Africa.","ZA-2050","South Africa"
"1768","Slippers, B.","Univ Pretoria, Dept Genet, FABI, ZA-0002 Pretoria, South Africa.","Univ Pretoria"," Dept Genet"," FABI, ZA-0002 Pretoria, South Africa.","ZA-0002","South Africa"
"1769","Wilcken, C. F.","Sao Paulo State Univ UNESP, Fac Agron Sci, Dept Plant Prod, Sao Paulo, Brazil.","Sao Paulo State Univ UNESP"," Fac Agron Sci"," Dept Plant Prod, Sao Paulo, Brazil.",NA,"Brazil"
"1770","Wingfield, M. J.","Univ Pretoria, Dept Genet, FABI, ZA-0002 Pretoria, South Africa.","Univ Pretoria"," Dept Genet"," FABI, ZA-0002 Pretoria, South Africa.","ZA-0002","South Africa"
"1771","Cortes, Lara Gomes","Univ Fed Goias, Inst Ciencias Biol, Programa Posgrad Ecol & Evolucao, BR-7400197 Goiania, Go, Brazil.","Univ Fed Goias"," Inst Ciencias Biol"," Programa Posgrad Ecol & Evolucao, BR-7400197 Goiania, Go, Brazil.","BR-7400197","Brazil"
"1772","da Mata, Renata Alves","EMBRAPA CENARGEN, Lab Ecol Semioquim & Biosseguranca, Brasilia, DF, Brazil.","EMBRAPA CENARGEN"," Lab Ecol Semioquim & Biosseguranca"," Brasilia, DF, Brazil.",NA,"Brazil"
"1773","De Marco, Paulo, Jr.","Univ Fed Goias, Inst Ciencias Biol, Dept Ecol, BR-74001970 Goiania, Go, Brazil.","Univ Fed Goias"," Inst Ciencias Biol"," Dept Ecol, BR-74001970 Goiania, Go, Brazil.","BR-74001970","Brazil"
"1774","Felizola Diniz-Filho, Jose Alexandre","Univ Fed Goias, Inst Ciencias Biol, Dept Ecol, BR-74001970 Goiania, Go, Brazil.","Univ Fed Goias"," Inst Ciencias Biol"," Dept Ecol, BR-74001970 Goiania, Go, Brazil.","BR-74001970","Brazil"
"1775","Tidon, Rosana","Univ Brasilia UNB, Inst Ciencias Biol, Dept Genet & Morfol, BR-70904970 Brasilia, DF, Brazil.","Univ Brasilia UNB"," Inst Ciencias Biol"," Dept Genet & Morfol, BR-70904970 Brasilia, DF, Brazil.","BR-70904970","Brazil"
"1776","Badano, Ernesto","Univ Concepcion, Dept Bot, Fac Ciencias Nat & Oceanog, Concepcion, Chile.","Univ Concepcion"," Dept Bot"," Fac Ciencias Nat & Oceanog, Concepcion, Chile.",NA,"Chile"
"1777","Castro, Sergio A.","Univ Santiago Chile, Dept Biol, Fac Quim & Biol, Santiago, Chile.","Univ Santiago Chile"," Dept Biol"," Fac Quim & Biol, Santiago, Chile.",NA,"Chile"
"1778","Cavieres, Lohengrin","Univ Concepcion, Dept Bot, Fac Ciencias Nat & Oceanog, Concepcion, Chile.","Univ Concepcion"," Dept Bot"," Fac Ciencias Nat & Oceanog, Concepcion, Chile.",NA,"Chile"
"1779","Guzman, Daniela","Pontificia Univ Catolica Chile, Dept Ecol, Fac Ciencias Biol, Santiago, Chile.","Pontificia Univ Catolica Chile"," Dept Ecol"," Fac Ciencias Biol, Santiago, Chile.",NA,"Chile"
"1780","Bravo, Adriana","Louisiana State Univ, Dept Biol Sci, Baton Rouge, LA 70803 USA.","Louisiana State Univ"," Dept Biol Sci"," Baton Rouge, LA 70803 USA."," 70803","USA"
"1781","Emmons, Louise H.","Smithsonian Inst, Div Mammals, Washington, DC 20013 USA.","Smithsonian Inst"," Div Mammals"," Washington, DC 20013 USA."," 20013","USA"
"1782","Harms, Kyle E.","Louisiana State Univ, Dept Biol Sci, Baton Rouge, LA 70803 USA.","Louisiana State Univ"," Dept Biol Sci"," Baton Rouge, LA 70803 USA."," 70803","USA"
"1783","Dyer, Lee A.","Univ Nevada, Biol Dept 0314, Reno, NV 89557 USA.","Univ Nevada"," Biol Dept 0314"," Reno, NV 89557 USA."," 89557","USA"
"1784","Greeney, Harold F.","Univ Nevada, Biol Dept 0314, Reno, NV 89557 USA.","Univ Nevada"," Biol Dept 0314"," Reno, NV 89557 USA."," 89557","USA"
"1785","Hazen, Rebecca F.","Tulane Univ, Dept Ecol & Evolutionary Biol, New Orleans, LA 70118 USA.","Tulane Univ"," Dept Ecol & Evolutionary Biol"," New Orleans, LA 70118 USA."," 70118","USA"
"1786","Stireman, John O., III","Wright State Univ, Dept Biol Sci, Dayton, OH 45435 USA.","Wright State Univ"," Dept Biol Sci"," Dayton, OH 45435 USA."," 45435","USA"
"1787","Walla, Thomas R.","Mesa State Coll, Dept Biol, Grand Junction, CO 81501 USA.","Mesa State Coll"," Dept Biol"," Grand Junction, CO 81501 USA."," 81501","USA"
"1788","Bongers, Frans","Wageningen Univ, Dept Environm Sci, Forest Ecol & Forest Management Grp, NL-6700 AA Wageningen, Netherlands.","Wageningen Univ"," Dept Environm Sci"," Forest Ecol & Forest Management Grp, NL-6700 AA Wageningen, Netherlands.","NL-6700","Netherlands"
"1789","Burnham, Robyn J.","Univ Michigan, Dept Ecol & Evolutionary Biol, Ann Arbor, MI 48109 USA.","Univ Michigan"," Dept Ecol & Evolutionary Biol"," Ann Arbor, MI 48109 USA."," 48109","USA"
"1790","Cai, Zhiquan","Chinese Acad Sci, Xishuangbanna Trop Bot Garden, Mengla 666303, Peoples R China.","Chinese Acad Sci"," Xishuangbanna Trop Bot Garden"," Mengla 666303, Peoples R China."," 66630","China"
"1791","Chave, Jerome","CNRS, Lab Evolut & Diversite Biol, Toulouse, France.","CNRS"," Lab Evolut & Diversite Biol"," Toulouse, France.",NA,"France"
"1792","Chuyong, Georges","Univ Buea, Dept Anim & Plant Sci, Buea, Southwest Prov, Cameroon.","Univ Buea"," Dept Anim & Plant Sci"," Buea, Southwest Prov, Cameroon.",NA,"Cameroon"
"1793","Clark, David B.","Univ Missouri, Dept Biol, St Louis, MO 63121 USA.","Univ Missouri"," Dept Biol"," St Louis, MO 63121 USA."," 63121","USA"
"1794","DeWalt, Saara J.","Clemson Univ, Dept Biol Sci, Clemson, SC 29634 USA.","Clemson Univ"," Dept Biol Sci"," Clemson, SC 29634 USA."," 29634","USA"
"1795","Ewango, Corneille E. N.","Wageningen Univ, Dept Environm Sci, Forest Ecol & Forest Management Grp, NL-6700 AA Wageningen, Netherlands.","Wageningen Univ"," Dept Environm Sci"," Forest Ecol & Forest Management Grp, NL-6700 AA Wageningen, Netherlands.","NL-6700","Netherlands"
"1796","Gerwing, Jeffrey J.","Inst Homem & Meio Ambiente Amazonia IMAZON, Belem, Para, Brazil.","Inst Homem & Meio Ambiente Amazonia IMAZON"," Belem"," Para, Brazil.",NA,"Brazil"
"1797","Gortaire, Esteban","Pontificia Univ Catolica Ecuador, Escuela Ciencias Biol, Herbario QCA, Quito, Ecuador.","Pontificia Univ Catolica Ecuador"," Escuela Ciencias Biol"," Herbario QCA, Quito, Ecuador.",NA,"Ecuador"
"1798","Hart, Terese","Wildlife Conservat Soc, Kinshasa, Zaire.","Wildlife Conservat Soc"," Kinshasa"," Zaire.",NA,NA
"1799","Ibarra-Manriquez, Guillermo","Univ Nacl Autonoma Mexico, Ctr Invest Ecosistemas, Morelia 58190, Michoacan, Mexico.","Univ Nacl Autonoma Mexico"," Ctr Invest Ecosistemas"," Morelia 58190, Michoacan, Mexico."," 58190","Mexico"
"1800","Ickes, Kalan","Clemson Univ, Dept Biol Sci, Clemson, SC 29634 USA.","Clemson Univ"," Dept Biol Sci"," Clemson, SC 29634 USA."," 29634","USA"
"1801","Kenfack, David","Univ Michigan, Dept Ecol & Evolutionary Biol, Ann Arbor, MI 48109 USA.","Univ Michigan"," Dept Ecol & Evolutionary Biol"," Ann Arbor, MI 48109 USA."," 48109","USA"
"1802","Macia, Manuel J.","Univ Autonoma Madrid, Dept Biol, Area Bot, E-28049 Madrid, Spain.","Univ Autonoma Madrid"," Dept Biol"," Area Bot, E-28049 Madrid, Spain.","E-2804","Spain"
"1803","Makana, Jean-Remy","Wildlife Conservat Soc, Kinshasa, Zaire.","Wildlife Conservat Soc"," Kinshasa"," Zaire.",NA,NA
"1804","Martinez-Ramos, Miguel","Univ Nacl Autonoma Mexico, Ctr Invest Ecosistemas, Morelia 58190, Michoacan, Mexico.","Univ Nacl Autonoma Mexico"," Ctr Invest Ecosistemas"," Morelia 58190, Michoacan, Mexico."," 58190","Mexico"
"1805","Mascaro, Joseph","Univ Wisconsin, Dept Biol Sci, Milwaukee, WI 53211 USA.","Univ Wisconsin"," Dept Biol Sci"," Milwaukee, WI 53211 USA."," 53211","USA"
"1806","Moses, Sainge","Korup Forest Dynam Plot Programme, Mundemba, Southwest Prov, Cameroon.","Korup Forest Dynam Plot Programme"," Mundemba"," Southwest Prov, Cameroon.",NA,"Cameroon"
"1807","Muller-Landau, Helene C.","Smithsonian Trop Res Inst, Balboa, Ancon, Panama.","Smithsonian Trop Res Inst"," Balboa"," Ancon, Panama.",NA,"Panama"
"1808","Parren, Marc P. E.","Wageningen Univ, Dept Environm Sci, Forest Ecol & Forest Management Grp, NL-6700 AA Wageningen, Netherlands.","Wageningen Univ"," Dept Environm Sci"," Forest Ecol & Forest Management Grp, NL-6700 AA Wageningen, Netherlands.","NL-6700","Netherlands"
"1809","Parthasarathy, Narayanaswamy","Pondicherry Univ, Dept Ecol & Environm Sci, Pondicherry 605014, India.","Pondicherry Univ"," Dept Ecol & Environm Sci"," Pondicherry 605014, India."," 60501","India"
"1810","Perez-Salicrup, Diego R.","Univ Nacl Autonoma Mexico, Ctr Invest Ecosistemas, Morelia 58190, Michoacan, Mexico.","Univ Nacl Autonoma Mexico"," Ctr Invest Ecosistemas"," Morelia 58190, Michoacan, Mexico."," 58190","Mexico"
"1811","Putz, Francis E.","Univ Florida, Dept Biol, Gainesville, FL 32611 USA.","Univ Florida"," Dept Biol"," Gainesville, FL 32611 USA."," 32611","USA"
