"","AF","address","university","department","short_address","postal_code","country"
"1","Daniel, Conde","Univ Republica, Fac Ciencias, Secc Limnol, Montevideo, Uruguay.","Univ Republica"," Fac Ciencias"," Secc Limnol, Montevideo, Uruguay.",NA,"Uruguay"
"2","Danilo, Calliari","Univ Republica, Fac Ciencias, Secc Oceanol, Montevideo, Uruguay.","Univ Republica"," Fac Ciencias"," Secc Oceanol, Montevideo, Uruguay.",NA,"Uruguay"
"3","Laura, Rodriguez-Grana","Univ Republica, Fac Ciencias, Secc Limnol, Montevideo, Uruguay.","Univ Republica"," Fac Ciencias"," Secc Limnol, Montevideo, Uruguay.",NA,"Uruguay"
"4","Milessi, Andres C.","Inst Nacl Invest & Desarrollo Pesquero INIDEP, Buenos Aires, DF, Argentina.","Inst Nacl Invest & Desarrollo Pesquero INIDEP"," Buenos Aires"," DF, Argentina.",NA,"Argentina"
"5","Rodriguez-Gallego, Lorena","Univ Republica, Fac Ciencias, Secc Limnol, Montevideo, Uruguay.","Univ Republica"," Fac Ciencias"," Secc Limnol, Montevideo, Uruguay.",NA,"Uruguay"
"6","Sellanes, Javier","Univ Catolica Norte, Fac Ciencias Mar, Dept Biol Marina, Coquimbo, Chile.","Univ Catolica Norte"," Fac Ciencias Mar"," Dept Biol Marina, Coquimbo, Chile.",NA,"Chile"
"7","Cortes, Enric","Natl Oceanog & Atmospher Adm, Natl Marine Fisheries Serv, Panama City, FL 32408 USA.","Natl Oceanog & Atmospher Adm"," Natl Marine Fisheries Serv"," Panama City, FL 32408 USA."," 32408","USA"
"8","Mejia-Falla, Paola A.","SQUALUS, Fdn Colombiana Invest & Conservac Tiburones & Ray, Cali, Colombia.","SQUALUS"," Fdn Colombiana Invest & Conservac Tiburones & Ray"," Cali, Colombia.",NA,"Colombia"
"9","Navia, Andres F.","SQUALUS, Fdn Colombiana Invest & Conservac Tiburones & Ray, Cali, Colombia.","SQUALUS"," Fdn Colombiana Invest & Conservac Tiburones & Ray"," Cali, Colombia.",NA,"Colombia"
"10","Aragao, Luiz Eduardo O. C.","Univ Oxford, Sch Geog & Environm, Environm Change Inst, Oxford OX1 3QY, England.","Univ Oxford"," Sch Geog & Environm"," Environm Change Inst, Oxford OX1 3QY, England.","OX1 3QY",NA
"11","Espejo, Javier Eduardo Silva","Univ San Antonio Abad, Cuzco, Peru.","Univ San Antonio Abad"," Cuzco"," Peru.",NA,"Peru"
"12","Farfan-Amezquita, Filio","Univ San Antonio Abad, Cuzco, Peru.","Univ San Antonio Abad"," Cuzco"," Peru.",NA,"Peru"
"13","Malhi, Yadvinder","Univ Oxford, Sch Geog & Environm, Environm Change Inst, Oxford OX1 3QY, England.","Univ Oxford"," Sch Geog & Environm"," Environm Change Inst, Oxford OX1 3QY, England.","OX1 3QY",NA
"14","Robertson, Amanda L.","Univ Alaska Fairbanks, Dept Biol & Wildlife, Fairbanks, AK 99775 USA.","Univ Alaska Fairbanks"," Dept Biol & Wildlife"," Fairbanks, AK 99775 USA."," 99775","USA"
"15","Robertson, Matthew A.","Univ Alaska Fairbanks, Dept Forest Sci, Fairbanks, AK 99775 USA.","Univ Alaska Fairbanks"," Dept Forest Sci"," Fairbanks, AK 99775 USA."," 99775","USA"
"16","Atkinson, Rachel","Charles Darwin Fdn, Puerto Ayora, Galapagos, Ecuador.","Charles Darwin Fdn"," Puerto Ayora"," Galapagos, Ecuador.",NA,"Ecuador"
"17","Guezou, Anne","Charles Darwin Fdn, Puerto Ayora, Galapagos, Ecuador.","Charles Darwin Fdn"," Puerto Ayora"," Galapagos, Ecuador.",NA,"Ecuador"
"18","Trueman, Mandy","Charles Darwin Fdn, Puerto Ayora, Galapagos, Ecuador.","Charles Darwin Fdn"," Puerto Ayora"," Galapagos, Ecuador.",NA,"Ecuador"
"19","Wurm, Penny","Charles Darwin Univ, Darwin, NT 0909, Australia.","Charles Darwin Univ"," Darwin"," NT 0909, Australia.","NT 0909","Australia"
"20","Garner, T. W. J.","Zool Soc London, Inst Zool, London NW1 4RY, England.","Zool Soc London"," Inst Zool"," London NW1 4RY, England.","NW1 4RY",NA
"21","Hero, J-M","Griffith Univ, Environm Futures Ctr, Sch Environm, Nathan, Qld 4111, Australia.","Griffith Univ"," Environm Futures Ctr"," Sch Environm, Nathan, Qld 4111, Australia.","Qld 4111","Australia"
"22","Hoedl, W.","Univ Vienna, Dept Evolutionary Biol, Vienna, Austria.","Univ Vienna"," Dept Evolutionary Biol"," Vienna, Austria.",NA,"Austria"
"23","Jehle, R.","Univ Salford, Sch Environm & Life Sci, Ctr Environm Syst & Wildlife Res, Salford M5 4WT, Lancs, England.","Univ Salford"," Sch Environm & Life Sci"," Ctr Environm Syst & Wildlife Res, Salford M5 4WT, Lancs, England.","M5 4WT",NA
"24","Kraus, F.","Bernice P Bishop Museum, Honolulu, HI USA.","Bernice P Bishop Museum"," Honolulu"," HI USA.",NA,"USA"
"25","Muths, E.","US Geol Survey, Ft Collins Sci Ctr, Ft Collins, CO USA.","US Geol Survey"," Ft Collins Sci Ctr"," Ft Collins, CO USA.",NA,"USA"
"26","Reed, R. N.","US Geol Survey, Ft Collins Sci Ctr, Ft Collins, CO USA.","US Geol Survey"," Ft Collins Sci Ctr"," Ft Collins, CO USA.",NA,"USA"
"27","Vogt, R. C.","CPBA INPA, Manaus, Amazonas, Brazil.","CPBA INPA"," Manaus"," Amazonas, Brazil.",NA,"Brazil"
"28","Daszak, P.","Wildlife Trust, New York, NY USA.","Wildlife Trust"," New York"," NY USA.",NA,"USA"
"29","Davies, A. J.","Kingston Univ, Sch Life Sci, Surrey, England.","Kingston Univ"," Sch Life Sci"," Surrey, England.",NA,NA
"30","Ferreira, C. M.","Fishery Inst, Sao Paulo, Brazil.","Fishery Inst"," Sao Paulo"," Brazil.",NA,"Brazil"
"31","Hipolito, M.","Inst Biol, Sao Paulo, Brazil.","Inst Biol"," Sao Paulo"," Brazil.",NA,"Brazil"
"32","Hyatt, A. D.","CSIRO Livestock Ind, Australian Anim Hlth Lab, Geelong, Vic, Australia.","CSIRO Livestock Ind"," Australian Anim Hlth Lab"," Geelong, Vic, Australia.",NA,"Australia"
"33","James, T. Y.","Univ Michigan, Dept Ecol & Evolutionary Biol, Ann Arbor, MI 48109 USA.","Univ Michigan"," Dept Ecol & Evolutionary Biol"," Ann Arbor, MI 48109 USA."," 48109","USA"
"34","Longcore, J. E.","Univ Maine, Sch Biol & Ecol, Orono, ME USA.","Univ Maine"," Sch Biol & Ecol"," Orono, ME USA.",NA,"USA"
"35","Martins, A. M. C. R. P. F.","Inst Biol, Sao Paulo, Brazil.","Inst Biol"," Sao Paulo"," Brazil.",NA,"Brazil"
"36","Mazzoni, R.","Escola Vet UFG, LADAQUA GO, Ctr Pesquisa Alimentos, Goiania, Go, Brazil.","Escola Vet UFG"," LADAQUA GO"," Ctr Pesquisa Alimentos, Goiania, Go, Brazil.",NA,"Brazil"
"37","Schloegel, L. M.","Wildlife Trust, New York, NY USA.","Wildlife Trust"," New York"," NY USA.",NA,"USA"
"38","Yabsley, M.","Univ Georgia, DB Warnell Sch Forestry & Nat Resources, Athens, GA 30602 USA.","Univ Georgia"," DB Warnell Sch Forestry & Nat Resources"," Athens, GA 30602 USA."," 30602","USA"
"39","Lozada, Mariana","INIBIOMA CONICET UNCo, Lab Ecotono, RA-8400 San Carlos De Bariloche, Rio Negro, Argentina.","INIBIOMA CONICET UNCo"," Lab Ecotono"," RA-8400 San Carlos De Bariloche, Rio Negro, Argentina.","RA-8400","Argentina"
