"","AF","address","university","department","short_address","postal_code","country","EB_author.country","match"
"1","Daniel, Conde","Univ Republica, Fac Ciencias, Secc Limnol, Montevideo, Uruguay.","Univ Republica"," Fac Ciencias"," Secc Limnol, Montevideo, Uruguay.",NA,"Uruguay","Uruguay",TRUE
"2","Danilo, Calliari","Univ Republica, Fac Ciencias, Secc Oceanol, Montevideo, Uruguay.","Univ Republica"," Fac Ciencias"," Secc Oceanol, Montevideo, Uruguay.",NA,"Uruguay","Uruguay",TRUE
"3","Laura, Rodriguez-Grana","Univ Republica, Fac Ciencias, Secc Limnol, Montevideo, Uruguay.","Univ Republica"," Fac Ciencias"," Secc Limnol, Montevideo, Uruguay.",NA,"Uruguay","Uruguay",TRUE
"4","Milessi, Andres C.","Inst Nacl Invest & Desarrollo Pesquero INIDEP, Buenos Aires, DF, Argentina.","Inst Nacl Invest & Desarrollo Pesquero INIDEP"," Buenos Aires"," DF, Argentina.",NA,"Argentina","Argentina",TRUE
"5","Rodriguez-Gallego, Lorena","Univ Republica, Fac Ciencias, Secc Limnol, Montevideo, Uruguay.","Univ Republica"," Fac Ciencias"," Secc Limnol, Montevideo, Uruguay.",NA,"Uruguay","Uruguay",TRUE
"6","Sellanes, Javier","Univ Catolica Norte, Fac Ciencias Mar, Dept Biol Marina, Coquimbo, Chile.","Univ Catolica Norte"," Fac Ciencias Mar"," Dept Biol Marina, Coquimbo, Chile.",NA,"Chile","Chile",TRUE
"7","Cortes, Enric","Natl Oceanog & Atmospher Adm, Natl Marine Fisheries Serv, Panama City, FL 32408 USA.","Natl Oceanog & Atmospher Adm"," Natl Marine Fisheries Serv"," Panama City, FL 32408 USA."," 32408","USA","USA",TRUE
"8","Mejia-Falla, Paola A.","SQUALUS, Fdn Colombiana Invest & Conservac Tiburones & Ray, Cali, Colombia.","SQUALUS"," Fdn Colombiana Invest & Conservac Tiburones & Ray"," Cali, Colombia.",NA,"Colombia","Colombia",TRUE
"9","Navia, Andres F.","SQUALUS, Fdn Colombiana Invest & Conservac Tiburones & Ray, Cali, Colombia.","SQUALUS"," Fdn Colombiana Invest & Conservac Tiburones & Ray"," Cali, Colombia.",NA,"Colombia","Colombia",TRUE
"10","Aragao, Luiz Eduardo O. C.","Univ Oxford, Sch Geog & Environm, Environm Change Inst, Oxford OX1 3QY, England.","Univ Oxford"," Sch Geog & Environm"," Environm Change Inst, Oxford OX1 3QY, England.","OX1 3QY",NA,"England",NA
"11","Espejo, Javier Eduardo Silva","Univ San Antonio Abad, Cuzco, Peru.","Univ San Antonio Abad"," Cuzco"," Peru.",NA,"Peru","Peru",TRUE
"12","Farfan-Amezquita, Filio","Univ San Antonio Abad, Cuzco, Peru.","Univ San Antonio Abad"," Cuzco"," Peru.",NA,"Peru","Peru",TRUE
"13","Malhi, Yadvinder","Univ Oxford, Sch Geog & Environm, Environm Change Inst, Oxford OX1 3QY, England.","Univ Oxford"," Sch Geog & Environm"," Environm Change Inst, Oxford OX1 3QY, England.","OX1 3QY",NA,"England",NA
"14","Robertson, Amanda L.","Univ Alaska Fairbanks, Dept Biol & Wildlife, Fairbanks, AK 99775 USA.","Univ Alaska Fairbanks"," Dept Biol & Wildlife"," Fairbanks, AK 99775 USA."," 99775","USA","USA",TRUE
"15","Robertson, Matthew A.","Univ Alaska Fairbanks, Dept Forest Sci, Fairbanks, AK 99775 USA.","Univ Alaska Fairbanks"," Dept Forest Sci"," Fairbanks, AK 99775 USA."," 99775","USA","USA",TRUE
"16","Atkinson, Rachel","Charles Darwin Fdn, Puerto Ayora, Galapagos, Ecuador.","Charles Darwin Fdn"," Puerto Ayora"," Galapagos, Ecuador.",NA,"Ecuador","Ecuador",TRUE
"17","Guezou, Anne","Charles Darwin Fdn, Puerto Ayora, Galapagos, Ecuador.","Charles Darwin Fdn"," Puerto Ayora"," Galapagos, Ecuador.",NA,"Ecuador","Ecuador",TRUE
"18","Trueman, Mandy","Charles Darwin Fdn, Puerto Ayora, Galapagos, Ecuador.","Charles Darwin Fdn"," Puerto Ayora"," Galapagos, Ecuador.",NA,"Ecuador","Ecuador",TRUE
"19","Wurm, Penny","Charles Darwin Univ, Darwin, NT 0909, Australia.","Charles Darwin Univ"," Darwin"," NT 0909, Australia.","NT 0909","Australia","Australia",TRUE
"20","Garner, T. W. J.","Zool Soc London, Inst Zool, London NW1 4RY, England.","Zool Soc London"," Inst Zool"," London NW1 4RY, England.","NW1 4RY",NA,"England",NA
"21","Hero, J-M","Griffith Univ, Environm Futures Ctr, Sch Environm, Nathan, Qld 4111, Australia.","Griffith Univ"," Environm Futures Ctr"," Sch Environm, Nathan, Qld 4111, Australia.","Qld 4111","Australia","Australia",TRUE
"22","Hoedl, W.","Univ Vienna, Dept Evolutionary Biol, Vienna, Austria.","Univ Vienna"," Dept Evolutionary Biol"," Vienna, Austria.",NA,"Austria","Austria",TRUE
"23","Jehle, R.","Univ Salford, Sch Environm & Life Sci, Ctr Environm Syst & Wildlife Res, Salford M5 4WT, Lancs, England.","Univ Salford"," Sch Environm & Life Sci"," Ctr Environm Syst & Wildlife Res, Salford M5 4WT, Lancs, England.","M5 4WT",NA,"England",NA
"24","Kraus, F.","Bernice P Bishop Museum, Honolulu, HI USA.","Bernice P Bishop Museum"," Honolulu"," HI USA.",NA,"USA","USA",TRUE
"25","Muths, E.","US Geol Survey, Ft Collins Sci Ctr, Ft Collins, CO USA.","US Geol Survey"," Ft Collins Sci Ctr"," Ft Collins, CO USA.",NA,"USA","USA",TRUE
"26","Reed, R. N.","US Geol Survey, Ft Collins Sci Ctr, Ft Collins, CO USA.","US Geol Survey"," Ft Collins Sci Ctr"," Ft Collins, CO USA.",NA,"USA","USA",TRUE
"27","Vogt, R. C.","CPBA INPA, Manaus, Amazonas, Brazil.","CPBA INPA"," Manaus"," Amazonas, Brazil.",NA,"Brazil","Brazil",TRUE
"28","Daszak, P.","Wildlife Trust, New York, NY USA.","Wildlife Trust"," New York"," NY USA.",NA,"USA","USA",TRUE
"29","Davies, A. J.","Kingston Univ, Sch Life Sci, Surrey, England.","Kingston Univ"," Sch Life Sci"," Surrey, England.",NA,NA,"England",NA
"30","Ferreira, C. M.","Fishery Inst, Sao Paulo, Brazil.","Fishery Inst"," Sao Paulo"," Brazil.",NA,"Brazil","Brazil",TRUE
"31","Hipolito, M.","Inst Biol, Sao Paulo, Brazil.","Inst Biol"," Sao Paulo"," Brazil.",NA,"Brazil","Brazil",TRUE
"32","Hyatt, A. D.","CSIRO Livestock Ind, Australian Anim Hlth Lab, Geelong, Vic, Australia.","CSIRO Livestock Ind"," Australian Anim Hlth Lab"," Geelong, Vic, Australia.",NA,"Australia","Australia",TRUE
"33","James, T. Y.","Univ Michigan, Dept Ecol & Evolutionary Biol, Ann Arbor, MI 48109 USA.","Univ Michigan"," Dept Ecol & Evolutionary Biol"," Ann Arbor, MI 48109 USA."," 48109","USA","USA",TRUE
"34","Longcore, J. E.","Univ Maine, Sch Biol & Ecol, Orono, ME USA.","Univ Maine"," Sch Biol & Ecol"," Orono, ME USA.",NA,"USA","USA",TRUE
"35","Martins, A. M. C. R. P. F.","Inst Biol, Sao Paulo, Brazil.","Inst Biol"," Sao Paulo"," Brazil.",NA,"Brazil","Brazil",TRUE
"36","Mazzoni, R.","Escola Vet UFG, LADAQUA GO, Ctr Pesquisa Alimentos, Goiania, Go, Brazil.","Escola Vet UFG"," LADAQUA GO"," Ctr Pesquisa Alimentos, Goiania, Go, Brazil.",NA,"Brazil","Brazil",TRUE
"37","Schloegel, L. M.","Wildlife Trust, New York, NY USA.","Wildlife Trust"," New York"," NY USA.",NA,"USA","USA",TRUE
"38","Yabsley, M.","Univ Georgia, DB Warnell Sch Forestry & Nat Resources, Athens, GA 30602 USA.","Univ Georgia"," DB Warnell Sch Forestry & Nat Resources"," Athens, GA 30602 USA."," 30602","USA","USA",TRUE
