"AU_ID","UT","C1","RP","RID","RI","OI","Author_Order"
"Bernal, S_1","WOS:000369852600016
","Univ Barcelona, Fac Biol, Dept Ecol, Av Diagonal 643, E-08028 Barcelona, Spain.
CSIC, Ctr Adv Studies Blanes CEAB, Integrat Freshwater Ecol Grp, Acces Cala St Francesc 14, Blanes 17300, Girona, Spain.","","","Bernal,Susana/K-5069-2014","Bernal,Susana/0000-0002-6726-8840",4
"Brownlee, AH_1","WOS:000369852600017
","Univ Alaska Anchorage, Dept Biol Sci, Anchorage, AK 99508 USA.
Univ Alaska Anchorage, Environm & Nat Resources Inst, Anchorage, AK 99508 USA.","","","","",1
"Sullivan, PF_2","WOS:000369852600017
","Univ Alaska Anchorage, Environm & Nat Resources Inst, Anchorage, AK 99508 USA.","Univ Alaska Anchorage, Environm & Nat Resources Inst, Anchorage, AK 99508 USA.","","","",2
"Csank, AZ_1","WOS:000369852600017
","Univ Alaska Anchorage, Environm & Nat Resources Inst, Anchorage, AK 99508 USA.
Nipissing Univ, Dept Geog, North Bay, ON P1B 8L7, Canada.
Desert Res Inst, Div Hydrol Sci, Reno, NV USA.","","","","Csank,Adam/0000-0002-7001-4470",3
"Sveinbjornsson, B_1","WOS:000369852600017
","Univ Alaska Anchorage, Dept Biol Sci, Anchorage, AK 99508 USA.
Univ Alaska Anchorage, Environm & Nat Resources Inst, Anchorage, AK 99508 USA.","","","","",4
"Ellison, SBZ_1","WOS:000369852600017
","Univ Alaska Anchorage, Dept Biol Sci, Anchorage, AK 99508 USA.
Univ Alaska Anchorage, Environm & Nat Resources Inst, Anchorage, AK 99508 USA.","","","","",5
"Chang, CH_1","WOS:000369852600018
","Johns Hopkins Univ, Dept Earth & Planetary Sci, Baltimore, MD 21210 USA.","Johns Hopkins Univ, Dept Earth & Planetary Sci, Baltimore, MD 21210 USA.","","","",1
"Szlavecz, K_2","WOS:000369852600018
","Johns Hopkins Univ, Dept Earth & Planetary Sci, Baltimore, MD 21210 USA.","","","","",2
"Filley, T_1","WOS:000369852600018
","Purdue Univ, Dept Earth Atmospher & Planetary Sci, W Lafayette, IN 47907 USA.","","","","",3
"Buyer, JS_1","WOS:000369852600018
","USDA ARS, Sustainable Agr Syst Lab, Beltsville, MD 20705 USA.","","","","Buyer,Jeffrey/0000-0003-2098-0547",4
"Bernard, MJ_1","WOS:000369852600018
","Johns Hopkins Univ, Dept Earth & Planetary Sci, Baltimore, MD 21210 USA.
Marine Biol Lab, Ecosyst Ctr, Woods Hole, MA 02543 USA.","","","","",5
"Pitz, SL_1","WOS:000369852600018
","Johns Hopkins Univ, Dept Earth & Planetary Sci, Baltimore, MD 21210 USA.
Smithsonian Environm Res Ctr, POB 28, Edgewater, MD 21037 USA.","","","","",6
"Romero-Romero, S_1","WOS:000369852600019
","Univ Oviedo, Dept Biol Organismos & Sistemas, Area Ecol, Catedrat Rodrigo Urla S-N, E-33071 Oviedo, Asturias, Spain.","Univ Oviedo, Dept Biol Organismos & Sistemas, Area Ecol, Catedrat Rodrigo Urla S-N, E-33071 Oviedo, Asturias, Spain.","","","",1
"Molina-Ramirez, A_1","WOS:000369852600019
","Univ Oviedo, Dept Biol Organismos & Sistemas, Area Ecol, Catedrat Rodrigo Urla S-N, E-33071 Oviedo, Asturias, Spain.","","","","",2
"Hofer, J_1","WOS:000369852600019
","Univ Oviedo, Dept Biol Organismos & Sistemas, Area Ecol, Catedrat Rodrigo Urla S-N, E-33071 Oviedo, Asturias, Spain.","","","","",3
"Acuna, JL_1","WOS:000369852600019
","Univ Oviedo, Dept Biol Organismos & Sistemas, Area Ecol, Catedrat Rodrigo Urla S-N, E-33071 Oviedo, Asturias, Spain.","","","","",4
"Passuni, G_1","WOS:000369852600020
","Ctr Rech Halieut Mediterraneenne & Trop, EME UMR212, Inst Rech Dev, Ave Jean Monnet,BP 171, F-34203 Sete, France.
CNRS, Ctr Etud Biol Chize, UMR7372, F-79360 Villiers En Bois, France.
IMARPE, Esquina Gamarra & Gen Valle SN Chucuito, Lima 07021, Peru.","IMARPE, Esquina Gamarra & Gen Valle SN Chucuito, Lima 07021, Peru.","","","",1
"Barbraud, C_2","WOS:000369852600020
","CNRS, Ctr Etud Biol Chize, UMR7372, F-79360 Villiers En Bois, France.","","","","",2
