"AU","AU_ID","AU_ID_Dupe","Similarity","AF","EM","C1","RP","RID","RI","OI"
"Torres-Santana, CW","Montufar, Rommel_1",NA,NA,"Torres-Santana, Christian W.","","","","","",""
"Reyes-Betancort, JA","Homeier, J_2",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
"Abreu-Grobois, FA","Tello, JS_2",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
"Alfaro-Shigueto, J","Stevens, RD_2",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
"Ibarra-Manriquez, G","Lozada, T_2",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
"Martinez-Ramos, M","Guenter, S_2",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
"Perez-Salicrup, DR","Ron, SR_3",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
"Cisneros-Heredia, DF","Reyes, CI_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
"Ortega-Andrade, HM","Wright, J_2",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
"Linares-Palomino, R","Meir, P_2",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
"Aguirre-Mendoza, Z","Laurance, SG_3",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
"Lopez-Gonzalez, G","Calvopina, M_2",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
"van der Heijden, G","Sevink, J_2",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
"Francisco-Ortega, J","Francisco-Ortega, J_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
"Ropert-Coudert, Y","Ropert-Coudert, Y_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
"Jimenez-Uzcategui, G","Jimenez-Uzcategui, G_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
"Garcia-Villacorta, R","Garcia-Villacorta, R_1",NA,NA,"Garcia-Villacorta, Roosevelt","","","","","",""
"Vasquez-Martinez, R","Vasquez-Martinez, R_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
"Capdevielle-Dulac, C","Capdevielle-Dulac, C_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
"Torres-Leguizamon, M","Torres-Leguizamon, M_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
"Villegas-Amtmann, S","Villegas-Amtmann, S_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
"Aurioles-Gamboa, D","Aurioles-Gamboa, D_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
"Carrion-Tacuri, J","Carrion-Tacuri, J_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
"Alvarez-Lopez, AA","Alvarez-Lopez, AA_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
"d'Eeckenbrugge, GC","d'Eeckenbrugge, GC_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
"Romeijn-Peeters, E","Romeijn-Peeters, E_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
"Gomez-Aparicio, Lorena","Gomez-Aparicio, Lorena_1",NA,NA,"Parthasarathy, Narayanaswamy","","","","","",""
