"AU","AU_ID","AU_ID_Dupe","Similarity","AF","EM","C1","RP","RID","RI","OI"
"Muller-Landau, HC","Nunez, P_2",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Fehse, J_2",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"van der Heijden, G","Sevink, J_2",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Lewis, S_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Ron, S_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Munoz, A_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Thompson, J_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Mordecai, RS_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Cooper, RJ_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Justicia, R_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Morales, M_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Cueva, R_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Bucheli, VU_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Torres, J_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Prado, W_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Olalla, JV_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Urgiles, C_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Haro-Carrion, X_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Andrus, N_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Nesom, G_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Bogler, D_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Lewis, C_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Noyes, R_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Francisco-Ortega, J","Francisco-Ortega, J_1",NA,NA,"Francisco-Ortega, Javier","","","","","",""
"Muller-Landau, HC","Dallimer, M_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","King, T_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Mazer, SJ_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Vamosi, SM_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Freckleton, RP_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Alt, F_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Geissler, C_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Boy, J_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Knuth, J_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
"Muller-Landau, HC","Oelmann, Y_1",NA,NA,"Muller-Landau, Helene C.","","","","","",""
