"AU","AU_ID","AU_ID_Dupe","Similarity","AF","EM","C1","RP","RID","RI","OI"
"Honorio Coronado, Euridice N.","Girao, LC_1",NA,NA,"La Torre-Cuadros, Maria De Los Angeles","","","","","CardenasRamirez,GlendaGabriela/G-3281-2013",""
"Honorio Coronado, Euridice N.","Argueelles, Juan_1",NA,NA,"La Torre-Cuadros, Maria De Los Angeles","","","","","CardenasRamirez,GlendaGabriela/G-3281-2013",""
"Coronado, Euridice N. Honorio","Coronado, Euridice N. Honorio_1",NA,NA,"La Torre-Cuadros, Maria De Los Angeles","","","","","CardenasRamirez,GlendaGabriela/G-3281-2013",""
"van der Heijden, Geertje M. F.","van der Heijden, Geertje M. F._1",NA,NA,"La Torre-Cuadros, Maria De Los Angeles","","","","","CardenasRamirez,GlendaGabriela/G-3281-2013",""
"Gutierrez, Germaine Alexander Parada","Gutierrez, Germaine Alexander Parada_1",NA,NA,"La Torre-Cuadros, Maria De Los Angeles","","","","","CardenasRamirez,GlendaGabriela/G-3281-2013",""
"Navarro-Aguilar, Gilberto Enrique","Navarro-Aguilar, Gilberto Enrique_1",NA,NA,"La Torre-Cuadros, Maria De Los Angeles","","","","","CardenasRamirez,GlendaGabriela/G-3281-2013",""
"Garcia Guarniz, Carlos Fernando","Garcia Guarniz, Carlos Fernando_1",NA,NA,"La Torre-Cuadros, Maria De Los Angeles","","","","","CardenasRamirez,GlendaGabriela/G-3281-2013",""
"Zavaleta Tenorio, Diogenes Humberto","Zavaleta Tenorio, Diogenes Humberto_1",NA,NA,"La Torre-Cuadros, Maria De Los Angeles","","","","","CardenasRamirez,GlendaGabriela/G-3281-2013",""
"Carrillo-Percastegui, Samia E.","Carrillo-Percastegui, Samia E._1",NA,NA,"La Torre-Cuadros, Maria De Los Angeles","","","","","CardenasRamirez,GlendaGabriela/G-3281-2013",""
"Carlos Flores del Castillo, Juan","Carlos Flores del Castillo, Juan_1",NA,NA,"La Torre-Cuadros, Maria De Los Angeles","","","","","CardenasRamirez,GlendaGabriela/G-3281-2013",""
"Quisiyupanqui, Mireya Natividad Raurau","Quisiyupanqui, Mireya Natividad Raurau_1",NA,NA,"Quisiyupanqui, Mireya Natividad Raurau","","","","","CardenasRamirez,GlendaGabriela/G-3281-2013",""
