"AU_ID","UT","C1","RP","RID","RI","OI","Author_Order"
"Trueman, M_1","WOS:000286581800004
","Charles Darwin Fdn, Puerto Ayora, Galapagos, Ecuador.","Univ Western Australia, 35 Stirling Highway, Crawley, WA 6009, Australia",NA,NA,NA,1
"Atkinson, R_1","WOS:000286581800004
","","",NA,NA,NA,2
"Guezou, A_1","WOS:000286581800004
","","",NA,NA,NA,3
"Wurm, P_1","WOS:000286581800004
","","",NA,NA,NA,4
"Metz, MR_1","WOS:000285635100028
","Univ Calif Berkeley, Dept Integrat Biol, Berkeley, CA 94720 USA.","Univ Calif Berkeley, Dept Integrat Biol, Berkeley, CA 94720 USA",NA,NA,NA,1
"Sousa, WP_1","WOS:000285635100028
","","",NA,NA,NA,2
"Valencia, R_1","WOS:000285635100028
","","",NA,NA,NA,3
"Larrea, ML_1","WOS:000284393700003
","EcoCiencia, Quito, Ecuador.","",NA,NA,NA,1
"Werner, FA_1","WOS:000284393700003
","","Carl von Ossietzky Univ Oldenburg, Inst Biol & Umweltwissench, AG Funkt Okol, Carl von Ossietzkystr 9-11,POB 2503, D-26111 Oldenburg, Germany",NA,NA,NA,2
"Acurio, A_1","WOS:000283949700013
","Pontificia Univ Catolica Ecuador, Dept Biol Sci, Quito, Ecuador.","Pontificia Univ Catolica Ecuador, Dept Biol Sci, Apartado 17-01-2184, Quito, Ecuador",NA,NA,NA,1
"Rafael, V_1","WOS:000283949700013
","","",NA,NA,NA,2
"Dangles, O_1","WOS:000283949700013
","","",NA,NA,NA,3
"Castro, SA_1","WOS:000283375900003
","Univ Santiago Chile, Dept Biol, Santiago, Chile.","Univ Santiago Chile, Dept Biol, Av Lib B Ohiggins 3363, Santiago, Chile",NA,NA,NA,1
"Daehler, CC_1","WOS:000283375900003
","","",NA,NA,NA,2
"Silva, L_1","WOS:000283375900003
","","",NA,NA,NA,3
"Torres-Santana, CW_1","WOS:000283375900003
","","",NA,NA,NA,4
"Reyes-Betancort, JA_1","WOS:000283375900003
","","",NA,NA,NA,5
"Atkinson, R_2","WOS:000283375900003
","","",NA,NA,NA,6
"Jaramillo, P_1","WOS:000283375900003
","","",NA,NA,NA,7
"Guezou, A_2","WOS:000283375900003
","","",NA,NA,NA,8
"Jaksic, FM_1","WOS:000283375900003
","","",NA,NA,NA,9
"Gaos, AR_1","WOS:000284038500027
","Ocean Fdn, Washington, DC USA.","Ocean Fdn, Washington, DC USA",NA,NA,NA,1
"Abreu-Grobois, FA_1","WOS:000284038500027
","","",NA,NA,NA,2
"Alfaro-Shigueto, J_1","WOS:000284038500027
","ProDelphinus, Lima, Peru.
Univ Exeter, Exeter, Devon, England.","",NA,NA,NA,3
"Amorocho, D_1","WOS:000284038500027
","Ctr Invest El Manejo Ambiental & El Desarrollo, Cali, Colombia.","",NA,NA,NA,4
"Arauz, R_1","WOS:000284038500027
","Programa Restaurac Tortugas Marinas, San Jose, Costa Rica.","",NA,NA,NA,5
"Baquero, A_1","WOS:000284038500027
","Fdn Equilibrio Azul, Quito, Ecuador.
Univ San Francisco Quito, Quito, Ecuador.","",NA,NA,NA,6
"Briseno, R_1","WOS:000284038500027
","UNAM, Lab Genet & Banco Informac Tortugas Marinas, Inst Ciencias Mar & Limnol, Mazatlan, Mexico.","",NA,NA,NA,7
"Chacon, D_1","WOS:000284038500027
","WIDECAST Latin Amer, San Jose, Costa Rica.","",NA,NA,NA,8
"Duenas, C_1","WOS:000284038500027
","Minist Medio Ambiente & Recursos Nat, San Salvador, El Salvador.","",NA,NA,NA,9
"Hasbun, C_1","WOS:000284038500027
","USAID, Santa Elena, La Libertad, El Salvador.","",NA,NA,NA,10
"Liles, M_1","WOS:000284038500027
","Fdn Zool El Salvador, San Salvador, El Salvador.","",NA,NA,NA,11
"Mariona, G_1","WOS:000284038500027
","Fdn Zool El Salvador, San Salvador, El Salvador.","",NA,NA,NA,12
"Muccio, C_1","WOS:000284038500027
","Asociac Rescate & Conservac Vida Silvestre, San Lucas Sacatepequez, Guatemala.","",NA,NA,NA,13
"Munoz, JP_1","WOS:000284038500027
","","",NA,NA,NA,14
"Nichols, WJ_1","WOS:000284038500027
","","",NA,NA,NA,15
"Pena, M_1","WOS:000284038500027
","Fdn Equilibrio Azul, Quito, Ecuador.","",NA,NA,NA,16
"Seminoff, JA_1","WOS:000284038500027
","","",NA,NA,NA,17
"Vasquez, M_1","WOS:000284038500027
","Univ El Salvador, Inst Ciencias Mar & Limnol, San Salvador, El Salvador.","",NA,NA,NA,18
"Urteaga, J_1","WOS:000284038500027
","Fauna & Flora Int, Managua, Nicaragua.","",NA,NA,NA,19
"Wallace, B_1","WOS:000284038500027
","Conservat Int, Global Marine Div, Arlington, TX USA.","",NA,NA,NA,20
"Yanez, IL_1","WOS:000284038500027
","","",NA,NA,NA,21
"Zarate, P_1","WOS:000284038500027
","Univ Florida, Archie Carr Ctr Sea Turtle Res, Gainesville, FL USA.
Univ Florida, Dept Biol, Gainesville, FL USA.
Charles Darwin Fdn, Santa Cruz Isl, Galapagos Isl, Ecuador.","",NA,NA,NA,22
"Edgar, GJ_1","WOS:000281676700020
","Univ Tasmania, Tasmanian Aquaculture & Fisheries Inst, Hobart, Tas 7001, Australia.","Univ Tasmania, Tasmanian Aquaculture & Fisheries Inst, Private Bag 49, Hobart, Tas 7001, Australia",NA,NA,NA,1
"Banks, SA_1","WOS:000281676700020
","","",NA,NA,NA,2
"Brandt, M_1","WOS:000281676700020
","","",NA,NA,NA,3
"Bustamante, RH_1","WOS:000281676700020
","","",NA,NA,NA,4
"Chiriboga, A_1","WOS:000281676700020
","","",NA,NA,NA,5
"Earle, SA_1","WOS:000281676700020
","","",NA,NA,NA,6
"Garske, LE_1","WOS:000281676700020
","","",NA,NA,NA,7
"Glynn, PW_1","WOS:000281676700020
","","",NA,NA,NA,8
"Grove, JS_1","WOS:000281676700020
","","",NA,NA,NA,9
"Henderson, S_1","WOS:000281676700020
","","",NA,NA,NA,10
"Hickman, CP_1","WOS:000281676700020
","","",NA,NA,NA,11
"Miller, KA_1","WOS:000281676700020
","","",NA,NA,NA,12
"Rivera, F_1","WOS:000281676700020
","","",NA,NA,NA,13
"Wellington, GM_1","WOS:000281676700020
","","",NA,NA,NA,14
"Wullaert, H_1","WOS:000283458600003
","Johannes Gutenberg Univ Mainz, Earth Syst Sci Res Ctr, Inst Geog, Mainz, Germany.","",NA,NA,NA,1
"Homeier, J_1","WOS:000283458600003
","","",NA,NA,NA,2
"Valarezo, C_1","WOS:000283458600003
","Univ Gottingen, Albrecht von Haller Inst Plant Sci, Gottingen, Germany.
Univ Natl de Loja, Direcc Gen Invest, Sector La Argelia, Loja, Ecuador.","",NA,NA,NA,3
"Wilcke, W_1","WOS:000283458600003
","Univ Bern, Inst Geog, CH-3012 Bern, Switzerland.","Univ Bern, Inst Geog, Hallerstr 12, CH-3012 Bern, Switzerland",NA,NA,NA,4
"Tello, JS_1","WOS:000282176800018
","Louisiana State Univ, Dept Biol Sci, Baton Rouge, LA 70803 USA.","Louisiana State Univ, Dept Biol Sci, Baton Rouge, LA 70803 USA",NA,NA,NA,1
"Stevens, RD_1","WOS:000282176800018
","","",NA,NA,NA,2
"Greeney, HF_1","WOS:000281371800007
","Yanayacu Biol Stn, Quito, Ecuador.","Yanayacu Biol Stn, Foch 721 & Amazonas, Quito, Ecuador",NA,NA,NA,1
"Jager, H_1","WOS:000281717200012
","Tech Univ Berlin, Dept Ecol, D-12165 Berlin, Germany.","Tech Univ Berlin, Dept Ecol, Rothenburgstr 12, D-12165 Berlin, Germany",NA,NA,NA,1
"Kowarik, I_1","WOS:000281717200012
","","",NA,NA,NA,2
"Donoso, DA_1","WOS:000280962200019
","Univ Oklahoma, Dept Zool, Grad Program Ecol & Evolutionary Biol, Norman, OK 73019 USA.","Univ Oklahoma, Dept Zool, Grad Program Ecol & Evolutionary Biol, Norman, OK 73019 USA",NA,NA,NA,1
"Johnston, MK_1","WOS:000280962200019
","","",NA,NA,NA,2
"Kaspari, M_1","WOS:000280962200019
","","",NA,NA,NA,3
"Devineau, O_1","WOS:000277168000003
","Colorado State Univ, Dept Fish Wildlife & Conservat Biol, Ft Collins, CO USA.","Fdn Charles Darwin, Isla Santa Cruz, Galapagos, Ecuador",NA,NA,NA,1
"Shenk, TM_1","WOS:000277168000003
","","",NA,NA,NA,2
"White, GC_1","WOS:000277168000003
","","",NA,NA,NA,3
"Doherty, PF_1","WOS:000277168000003
","","",NA,NA,NA,4
"Lukacs, PM_1","WOS:000277168000003
","","",NA,NA,NA,5
"Kahn, RH_1","WOS:000277168000003
","","",NA,NA,NA,6
"Harper, GA_1","WOS:000277410800001
","Charles Darwin Fdn, Quito, Ecuador.","Rotoiti Nat Recovery Project, Dept Conservat, POB 55, St Arnaud 7053, New Zealand",NA,NA,NA,1
"Cabrera, LF_1","WOS:000277410800001
","","",NA,NA,NA,2
"Dyer, LA_1","WOS:000277289400003
","Univ Nevada, Biol Dept 0314, Reno, NV 89557 USA.","Univ Nevada, Biol Dept 0314, 1664 N Virginia St, Reno, NV 89557 USA",NA,NA,NA,1
"Walla, TR_1","WOS:000277289400003
","","",NA,NA,NA,2
"Greeney, HF_2","WOS:000277289400003
","","",NA,NA,NA,3
"Stireman, JO_1","WOS:000277289400003
","","",NA,NA,NA,4
"Hazen, RF_1","WOS:000277289400003
","","",NA,NA,NA,5
"DeWalt, SJ_1","WOS:000277289400006
","Clemson Univ, Dept Biol Sci, Clemson, SC 29634 USA.","Clemson Univ, Dept Biol Sci, Clemson, SC 29634 USA",NA,NA,NA,1
"Schnitzer, SA_1","WOS:000277289400006
","","",NA,NA,NA,2
"Chave, J_1","WOS:000277289400006
","","",NA,NA,NA,3
"Bongers, F_1","WOS:000277289400006
","","",NA,NA,NA,4
"Burnham, RJ_1","WOS:000277289400006
","","",NA,NA,NA,5
"Cai, ZQ_1","WOS:000277289400006
","","",NA,NA,NA,6
"Chuyong, G_1","WOS:000277289400006
","","",NA,NA,NA,7
"Clark, DB_1","WOS:000277289400006
","","",NA,NA,NA,8
"Ewango, CEN_1","WOS:000277289400006
","","",NA,NA,NA,9
"Gerwing, JJ_1","WOS:000277289400006
","","",NA,NA,NA,10
"Gortaire, E_1","WOS:000277289400006
","","",NA,NA,NA,11
"Hart, T_1","WOS:000277289400006
","","",NA,NA,NA,12
"Ibarra-Manriquez, G_1","WOS:000277289400006
","","",NA,NA,NA,13
"Ickes, K_1","WOS:000277289400006
","","",NA,NA,NA,14
"Kenfack, D_1","WOS:000277289400006
","","",NA,NA,NA,15
"Macia, MJ_1","WOS:000277289400006
","","",NA,NA,NA,16
"Makana, JR_1","WOS:000277289400006
","","",NA,NA,NA,17
"Martinez-Ramos, M_1","WOS:000277289400006
","","",NA,NA,NA,18
"Mascaro, J_1","WOS:000277289400006
","","",NA,NA,NA,19
"Moses, S_1","WOS:000277289400006
","","",NA,NA,NA,20
"Muller-Landau, HC_1","WOS:000277289400006
","","",NA,NA,NA,21
"Parren, MPE_1","WOS:000277289400006
","","",NA,NA,NA,22
"Parthasarathy, N_1","WOS:000277289400006
","","",NA,NA,NA,23
"Perez-Salicrup, DR_1","WOS:000277289400006
","","",NA,NA,NA,24
"Putz, FE_1","WOS:000277289400006
","","",NA,NA,NA,25
"Romero-Saltos, H_1","WOS:000277289400006
","","",NA,NA,NA,26
"Thomas, D_1","WOS:000277289400006
","","",NA,NA,NA,27
"Romero-Munoz, A_1","WOS:000277483200006
","Wildlife Conservat Soc Bolivia, Santa Cruz, Bolivia.","Calama 143, Sucre, Bolivia",NA,NA,NA,1
"Maffei, L_1","WOS:000277483200006
","","",NA,NA,NA,2
"Cuellar, E_1","WOS:000277483200006
","","",NA,NA,NA,3
"Noss, AJ_1","WOS:000277483200006
","","",NA,NA,NA,4
