"AU_ID","UT","C1","RP","RID","RI","OI","Author_Order"
"Sobrinho, MS_1","WOS:000388274700005
","Univ Fed Pernambuco, Programa Posgrad Biol Vegetal, BR-50372970 Recife, PE, Brazil.
Univ Fed Amapa, BR-68940000 Mazagao, AP, Brazil.","","","","",1
"Tabarelli, M_1","WOS:000388274700005
","Univ Fed Pernambuco, Dept Bot, BR-50372970 Recife, PE, Brazil.","","","","",2
"Machado, IC_1","WOS:000388274700005
","Univ Fed Pernambuco, Dept Bot, BR-50372970 Recife, PE, Brazil.","","","","",3
"Sfair, JC_1","WOS:000388274700005
","Univ Fed Pernambuco, Dept Bot, BR-50372970 Recife, PE, Brazil.","","","","",4
"Bruna, EM_1","WOS:000388274700005
","Univ Florida, Dept Wildlife Ecol & Conservat, Gainesville, FL 32611 USA.","","","","",5
"Lopes, AV_1","WOS:000388274700005
","Univ Fed Pernambuco, Dept Bot, BR-50372970 Recife, PE, Brazil.","Univ Fed Pernambuco, Dept Bot, BR-50372970 Recife, PE, Brazil.","","","",6
"Mundim, FM_1","WOS:000381285900006
","Univ Florida, Dept Wildlife Ecol & Conservat, Gainesville, FL 32611 USA.","Univ Florida, Dept Wildlife Ecol & Conservat, Gainesville, FL 32611 USA.","","","",1
"Bruna, EM_2","WOS:000381285900006
","Univ Florida, Dept Wildlife Ecol & Conservat, Gainesville, FL 32611 USA.
Univ Florida, Ctr Latin Amer Studies, Gainesville, FL 32611 USA.","","","","",2
"Vieira-Neto, EHM_1","WOS:000380065600003
","Univ Florida, Dept Wildlife Ecol & Conservat, 110 Newins Ziegler Hall, Gainesville, FL 32611 USA.","Univ Florida, Dept Wildlife Ecol & Conservat, 110 Newins Ziegler Hall, Gainesville, FL 32611 USA.","","","",1
"Vasconcelos, HL_1","WOS:000380065600003
","Univ Fed Uberlandia, Inst Biol, Ave Para 1720, BR-38405320 Uberlandia, MG, Brazil.","","","","",2
"Bruna, EM_3","WOS:000380065600003
","Univ Florida, Dept Wildlife Ecol & Conservat, 110 Newins Ziegler Hall, Gainesville, FL 32611 USA.
Univ Florida, Ctr Latin Amer Studies, Gainesville, FL 32611 USA.","","","","",3
"Bruna, EM_4","WOS:000372510600001
","Univ Florida, Dept Wildlife Ecol & Conservat, Gainesville, FL USA.
Univ Florida, Ctr Latin Amer Studies, Gainesville, FL USA.","Univ Florida, Ctr Latin Amer Studies, Gainesville, FL USA.","","","",1
"Pena-Claros, M_1","WOS:000372510600001
","Wageningen Univ & Res Ctr, Forest Ecol & Forest Management Grp, Wageningen, Netherlands.
IBIF, Santa Cruz, Bolivia.","","","","",2
"Finegan, B_1","WOS:000372510600001
","Trop Agr Ctr Res & Higher Educ CATIE, Prod & Conservat Forests Programme, 7170 Cartago, Turrialba 30501, Costa Rica.","","","","",3
"Kaplin, BA_1","WOS:000372510600001
","Antioch Univ New England, Dept Environm Studies, Ctr Trop Ecol & Conservat, 40 Avon St, Keene, NH 03431 USA.","","","","",4
"Whitlock, MC_1","WOS:000369462400003
","Univ British Columbia, Dept Zool, Vancouver, BC V6T 1Z4, Canada.","Univ British Columbia, Dept Zool, Vancouver, BC V6T 1Z4, Canada.","","","",1
"Bronstein, JL_1","WOS:000369462400003
","Univ Arizona, Dept Ecol & Evolutionary Biol, Tucson, AZ 85721 USA.","","","","",2
"Bruna, EM_5","WOS:000369462400003
","Univ Florida, Dept Wildlife Ecol & Conservat, POB 110430, Gainesville, FL 32611 USA.
Univ Florida, Ctr Latin Amer Studies, POB 11530, Gainesville, FL 32611 USA.","","","Bruna,Emilio/H-2769-2012","Bruna,Emilio/0000-0003-3381-8477",3
"Ellison, AM_1","WOS:000369462400003
","Harvard Univ, Harvard Forest, Petersham, MA 01366 USA.","","","","Ellison,Aaron/0000-0003-4151-6081",4
"Fox, CW_1","WOS:000369462400003
","Univ Kentucky, Dept Entomol, Lexington, KY 40546 USA.","","","Fox, Charles/I-5274-2012","Fox,Charles/0000-0002-7545-7967",5
